source,subject_id,split,setting,primary_protocol_changed,region,start_frame,end_frame_exclusive,duration_seconds,max_speed_deg_s,annotation_status,pose_semantics
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_10,False,lower_body,3186,3407,3.683333333333333,9.71273644452682,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_10,False,lower_body,4966,5114,2.466666666666667,9.890946501987461,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_10,False,lower_body,5641,5793,2.533333333333333,9.819313273325802,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_10,False,lower_body,7153,7323,2.8333333333333335,8.339039703719411,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_10,False,lower_body,7395,7704,5.15,9.48363540965206,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_10,False,lower_body,8643,8887,4.066666666666666,9.432704648130173,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_10,False,lower_body,8910,9057,2.45,9.821020400542148,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_10,False,lower_body,9417,9563,2.433333333333333,9.402814132062925,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_10,False,lower_body,9564,9701,2.283333333333333,9.189312190025495,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_10,False,lower_body,10538,10688,2.5,9.965654199103762,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,s_01,train,raw_15,False,lower_body,258,568,5.166666666666667,14.920187211439355,candidate_not_reviewed,unknown
