source,dataset,subject_key,kind,start_frame,end_frame_exclusive,start_seconds,duration_seconds,standing_before_15s,standing_after_15s,complete_transition_proxy,status
../base_mobileposer/data/raw/AMASS/BMLmovi/Subject_34_F_MoSh/Subject_34_F_12_poses.npz,BMLmovi,BMLmovi/Subject_34_F_MoSh,seated_like,304,980,2.533333333333333,5.633333333333334,False,False,False,native_rate_geometry_confirmed_not_action_annotation
../base_mobileposer/data/raw/AMASS/BMLmovi/Subject_39_F_MoSh/Subject_39_F_21_poses.npz,BMLmovi,BMLmovi/Subject_39_F_MoSh,seated_like,333,949,2.775,5.133333333333334,False,False,False,native_rate_geometry_confirmed_not_action_annotation
../base_mobileposer/data/raw/AMASS/BMLmovi/Subject_58_F_MoSh/Subject_58_F_16_poses.npz,BMLmovi,BMLmovi/Subject_58_F_MoSh,seated_like,523,1151,4.358333333333333,5.233333333333333,False,False,False,native_rate_geometry_confirmed_not_action_annotation
../base_mobileposer/data/raw/AMASS/BMLmovi/Subject_71_F_MoSh/Subject_71_F_19_poses.npz,BMLmovi,BMLmovi/Subject_71_F_MoSh,seated_like,243,970,2.025,6.058333333333334,False,False,False,native_rate_geometry_confirmed_not_action_annotation
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub011/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub011,seated_like,233,1009,1.9416666666666667,6.466666666666667,False,False,False,native_rate_geometry_confirmed_not_action_annotation
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub012/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub012,seated_like,402,1155,3.35,6.275,False,False,False,native_rate_geometry_confirmed_not_action_annotation
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub012/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub012,seated_like,417,1201,3.475,6.533333333333333,False,False,False,native_rate_geometry_confirmed_not_action_annotation
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub015/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub015,seated_like,412,1159,3.433333333333333,6.225,False,False,False,native_rate_geometry_confirmed_not_action_annotation
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub021/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub021,seated_like,393,1135,3.275,6.183333333333334,False,False,False,native_rate_geometry_confirmed_not_action_annotation
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub021/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub021,seated_like,339,1462,2.825,9.358333333333333,False,False,False,native_rate_geometry_confirmed_not_action_annotation
