source,sha256,subject_id,sequence_id,split,frames,sample_hz,duration_seconds,five_sensor_valid_frame_fraction,nan_target_frame_fraction,root_translation_gt,source_mapping,hold_mining
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/01.pkl,01954b4ae991606cec2f41da262a46eb1abca1dd881b076a425a1045321bccd7,s_01,01,train,13778,60.0,229.61666666666667,0.9959355494266221,0.0,absent,"{""pelvis"": 2, ""left_forearm"": 7, ""right_forearm"": 8, ""left_shank"": 11, ""right_shank"": 12, ""head"": 0, ""left_thigh"": 9, ""right_thigh"": 10}",candidate_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/02.pkl,9f2a1b994c23d2dc58aa3dcd276af66e19308137ad79694e2510cd7110807c43,s_01,02,train,5942,60.0,99.01666666666667,0.991248737798721,0.0,absent,"{""pelvis"": 2, ""left_forearm"": 7, ""right_forearm"": 8, ""left_shank"": 11, ""right_shank"": 12, ""head"": 0, ""left_thigh"": 9, ""right_thigh"": 10}",candidate_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/03.pkl,c2f235b17d72a76b04994b668061f014967a6621892e2cdb91d8ef797908dd8c,s_01,03,train,7938,60.0,132.28333333333333,0.9958427815570673,0.0,absent,"{""pelvis"": 2, ""left_forearm"": 7, ""right_forearm"": 8, ""left_shank"": 11, ""right_shank"": 12, ""head"": 0, ""left_thigh"": 9, ""right_thigh"": 10}",candidate_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/04.pkl,f506fb8203754ba30b699793027a7f6db50e00bba470fba948b05686d1258831,s_01,04,train,1075,60.0,17.9,0.9962790697674418,0.0,absent,"{""pelvis"": 2, ""left_forearm"": 7, ""right_forearm"": 8, ""left_shank"": 11, ""right_shank"": 12, ""head"": 0, ""left_thigh"": 9, ""right_thigh"": 10}",candidate_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/05.pkl,44688dd3e8d0d5f8b62e2581c182a8da961e9fd6c7ca08e97d61ec789a9a62dc,s_01,05,train,5540,60.0,92.31666666666666,0.9971119133574007,0.0,absent,"{""pelvis"": 2, ""left_forearm"": 7, ""right_forearm"": 8, ""left_shank"": 11, ""right_shank"": 12, ""head"": 0, ""left_thigh"": 9, ""right_thigh"": 10}",candidate_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/01.pkl,d3e2a43be4a21d6bbf2fcc893d9f12f68353e2f6d305806019a81ef43eeefbb8,s_02,01,train,9114,60.0,151.88333333333333,0.999231950844854,0.0,absent,"{""pelvis"": 2, ""left_forearm"": 7, ""right_forearm"": 8, ""left_shank"": 11, ""right_shank"": 12, ""head"": 0, ""left_thigh"": 9, ""right_thigh"": 10}",candidate_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/02.pkl,f52e6e2f9cc46dbeed5c54d689b6595563d142540194448541d116b35d28d580,s_02,02,train,6477,60.0,107.93333333333334,0.9978385054809326,0.0,absent,"{""pelvis"": 2, ""left_forearm"": 7, ""right_forearm"": 8, ""left_shank"": 11, ""right_shank"": 12, ""head"": 0, ""left_thigh"": 9, ""right_thigh"": 10}",candidate_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/03.pkl,06d07af990a77d1902b7bd34ac17a368c63dd9fd78d62a45ef7e84e79e183b9a,s_02,03,train,6987,60.0,116.43333333333334,0.9969944182052383,0.0,absent,"{""pelvis"": 2, ""left_forearm"": 7, ""right_forearm"": 8, ""left_shank"": 11, ""right_shank"": 12, ""head"": 0, ""left_thigh"": 9, ""right_thigh"": 10}",candidate_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/04.pkl,aeb867ff39c1e40bcf54240e16936cef9c9248489a26bdc5ce93f72741788fc8,s_02,04,train,4183,60.0,69.7,0.9966531197704996,0.0,absent,"{""pelvis"": 2, ""left_forearm"": 7, ""right_forearm"": 8, ""left_shank"": 11, ""right_shank"": 12, ""head"": 0, ""left_thigh"": 9, ""right_thigh"": 10}",candidate_only
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/05.pkl,ba347a6fce4b08a60b651acf247338d90dc436b2753c4ea0279068397205a00b,s_02,05,train,5828,60.0,97.11666666666666,0.9994852436513384,0.0,absent,"{""pelvis"": 2, ""left_forearm"": 7, ""right_forearm"": 8, ""left_shank"": 11, ""right_shank"": 12, ""head"": 0, ""left_thigh"": 9, ""right_thigh"": 10}",candidate_only
