source,subject_id,sequence_id,split,region,start_frame,end_frame_exclusive,duration_seconds,max_speed_deg_s,annotation_status,pose_semantics
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/05.pkl,s_02,05,train,trunk,1560,2129,9.483333333333333,4.926157380689836,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/05.pkl,s_02,05,train,lower_body,1620,2162,9.033333333333333,4.036212116622157,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/05.pkl,s_02,05,train,lower_body,2429,2704,4.583333333333333,4.9823917234191955,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/05.pkl,s_02,05,train,trunk,2485,2708,3.716666666666667,4.828550276804158,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/05.pkl,s_02,05,train,lower_body,5634,5828,3.2333333333333334,3.7536206683886615,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,05,validation,lower_body,5658,5845,3.1166666666666667,4.374618487848603,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,05,validation,lower_body,3801,3971,2.8333333333333335,4.6860853703791845,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,05,validation,lower_body,2526,2693,2.783333333333333,4.249981163557235,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_01/05.pkl,s_01,05,train,lower_body,1367,1531,2.7333333333333334,4.938472975933593,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,05,validation,trunk,1940,2097,2.6166666666666667,4.764923520086914,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_02/05.pkl,s_02,05,train,lower_body,1466,1619,2.55,4.739844857600299,candidate_not_reviewed,unknown
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/05.pkl,s_07,05,validation,trunk,1232,1383,2.5166666666666666,4.233163672092953,candidate_not_reviewed,unknown
