source,dataset,subject_key,bytes,kind,start_frame,end_frame_exclusive,start_seconds,duration_seconds,standing_before_15s,standing_after_15s,complete_transition_proxy,status
../base_mobileposer/data/raw/AMASS/BMLmovi/Subject_34_F_MoSh/Subject_34_F_12_poses.npz,BMLmovi,BMLmovi/Subject_34_F_MoSh,1590040,seated_like,312,984,2.6,5.6,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BMLmovi/Subject_39_F_MoSh/Subject_39_F_21_poses.npz,BMLmovi,BMLmovi/Subject_39_F_MoSh,1616760,seated_like,336,960,2.8,5.2,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BMLmovi/Subject_58_F_MoSh/Subject_58_F_16_poses.npz,BMLmovi,BMLmovi/Subject_58_F_MoSh,1771736,seated_like,528,1152,4.4,5.2,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BMLmovi/Subject_6_F_MoSh/Subject_6_F_21_poses.npz,BMLmovi,BMLmovi/Subject_6_F_MoSh,1322840,seated_like,264,864,2.2,5.0,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BMLmovi/Subject_71_F_MoSh/Subject_71_F_19_poses.npz,BMLmovi,BMLmovi/Subject_71_F_MoSh,1552624,seated_like,252,972,2.1,6.0,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub011/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub011,1374936,seated_like,240,840,2.0,5.0,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub011/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub011,1616752,seated_like,240,1020,2.0,6.5,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub012/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub012,1976144,seated_like,408,1164,3.4,6.3,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub012/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub012,2049624,seated_like,420,1212,3.5,6.6,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub015/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub015,1950752,seated_like,420,1164,3.5,6.2,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub021/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub021,2028248,seated_like,396,1140,3.3,6.2,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub021/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub021,2455768,seated_like,348,1464,2.9,9.3,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub023/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub023,2278080,seated_like,492,1356,4.1,7.2,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub024/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub024,1783760,seated_like,372,984,3.1,5.1,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub031/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub031,2000184,seated_like,468,1152,3.9,5.7,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub033/0014_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub033,2503864,seated_like,312,1608,2.6,10.8,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub033/0015_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub033,1775744,seated_like,312,1044,2.6,6.1,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub035/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub035,1960104,seated_like,456,1188,3.8,6.1,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub037/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub037,1757032,seated_like,336,1032,2.8,5.8,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub038/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub038,1716960,seated_like,312,1008,2.6,5.8,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub038/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub038,2368928,seated_like,300,1476,2.5,9.8,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub039/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub039,1616760,seated_like,288,960,2.4,5.6,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub041/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub041,1678216,seated_like,312,936,2.6,5.2,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub041/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub041,1704936,seated_like,312,948,2.6,5.3,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub044/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub044,1692904,seated_like,336,1020,2.8,5.7,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub044/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub044,1786424,seated_like,240,1092,2.0,7.1,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub045/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub045,1590040,seated_like,336,960,2.8,5.2,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub045/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub045,2036264,seated_like,276,1260,2.3,8.2,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub048/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub048,1775744,seated_like,396,1032,3.3,5.3,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub050/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub050,1639472,seated_like,324,972,2.7,5.4,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub050/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub050,1893312,seated_like,324,1164,2.7,7.0,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub091/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub091,1827840,seated_like,384,1008,3.2,5.2,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub092/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub092,1819832,seated_like,348,960,2.9,5.1,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub108/0016_sitting2_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub108,2176536,seated_like,492,1248,4.1,6.3,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/BioMotionLab_NTroje/rub114/0015_sitting1_poses.npz,BioMotionLab_NTroje,BioMotionLab_NTroje/rub114,1604728,seated_like,276,1008,2.3,6.1,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/CMU/13/13_03_poses.npz,CMU,CMU/13,4964768,seated_like,2880,3715,24.0,7.0,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/CMU/13/13_03_poses.npz,CMU,CMU/13,4964768,seated_like_low_speed,3072,3715,25.6,5.4,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/CMU/13/13_04_poses.npz,CMU,CMU/13,6359552,seated_like,288,984,2.4,5.8,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/CMU/13/13_04_poses.npz,CMU,CMU/13,6359552,seated_like,3852,4632,32.1,6.5,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/CMU/13/13_05_poses.npz,CMU,CMU/13,5883936,seated_like,1896,2964,15.8,8.9,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/CMU/13/13_06_poses.npz,CMU,CMU/13,5897296,seated_like,3492,4308,29.1,6.8,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/CMU/18_19_rory/18_12_poses.npz,CMU,CMU/18_19_rory,1675536,seated_like,408,1212,3.4,6.7,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/CMU/22_23_justin/22_03_poses.npz,CMU,CMU/22_23_justin,1086360,seated_like,0,812,0.0,6.8,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/CMU/55/55_16_poses.npz,CMU,CMU/55,8127080,seated_like,0,6082,0.0,50.7,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/CMU/86/86_15_poses.npz,CMU,CMU/86,9476440,seated_like,1428,6432,11.9,41.7,False,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/Eyes_Japan_Dataset/aita/sitdown_standup-10-observe-aita_poses.npz,Eyes_Japan_Dataset,Eyes_Japan_Dataset/aita,4811128,seated_like,696,3180,5.8,20.7,True,True,True,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/Eyes_Japan_Dataset/aita/sitdown_standup-14-hold chair-aita_poses.npz,Eyes_Japan_Dataset,Eyes_Japan_Dataset/aita,4545264,seated_like,504,1296,4.2,6.6,True,True,True,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/Eyes_Japan_Dataset/aita/sitdown_standup-14-hold chair-aita_poses.npz,Eyes_Japan_Dataset,Eyes_Japan_Dataset/aita,4545264,seated_like,1944,2616,16.2,5.6,True,True,True,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/Eyes_Japan_Dataset/aita/sitdown_standup-15-move chair-aita_poses.npz,Eyes_Japan_Dataset,Eyes_Japan_Dataset/aita,4811128,seated_like,2124,2736,17.7,5.1,False,True,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/Eyes_Japan_Dataset/hamada/gesture_etc-06-jiggle knee-hamada_poses.npz,Eyes_Japan_Dataset,Eyes_Japan_Dataset/hamada,4772384,seated_like,732,2760,6.1,16.9,True,True,True,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/Eyes_Japan_Dataset/hamada/pose-06-hangon-hamada_poses.npz,Eyes_Japan_Dataset,Eyes_Japan_Dataset/hamada,4772384,seated_like,1932,2544,16.1,5.1,True,True,True,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/Eyes_Japan_Dataset/hamada/sitdown_standup-02-chair-hamada_poses.npz,Eyes_Japan_Dataset,Eyes_Japan_Dataset/hamada,4811128,seated_like,1548,2544,12.9,8.3,True,True,True,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/Eyes_Japan_Dataset/hamada/sitdown_standup-03-chair back-hamada_poses.npz,Eyes_Japan_Dataset,Eyes_Japan_Dataset/hamada,4811128,seated_like,1740,2640,14.5,7.5,True,True,True,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/Eyes_Japan_Dataset/hamada/sitdown_standup-04-chair elbow-hamada_poses.npz,Eyes_Japan_Dataset,Eyes_Japan_Dataset/hamada,4811128,seated_like,588,1260,4.9,5.6,True,False,False,sampled_geometry_only_native_confirmation_required
../base_mobileposer/data/raw/AMASS/Eyes_Japan_Dataset/hamada/sitdown_standup-04-chair elbow-hamada_poses.npz,Eyes_Japan_Dataset,Eyes_Japan_Dataset/hamada,4811128,seated_like,1728,2340,14.4,5.1,True,True,True,sampled_geometry_only_native_confirmation_required
