source,subject,setting,region,frame_a,frame_b,current_max_rotation_deg,current_max_acc_difference_m_s2,reference_pose_gap_deg,large_pose_gap
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,420,810,7.363037632495359,0.7827645134626039,7.838467725385801,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,420,810,7.363037632495359,0.7827645134626039,2.045279195908843,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,510,900,6.47339271641698,0.8474201076740259,2.0103184374529213,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,510,900,6.47339271641698,0.8474201076740259,0.7501305079636227,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,510,1080,7.425477510381531,0.7019643388593249,2.6067115405505716,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,510,1080,7.425477510381531,0.7019643388593249,0.8332849774715526,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,510,1740,8.987642861520502,0.8195861807800736,2.083665210865474,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,510,1740,8.987642861520502,0.8195861807800736,0.5244666736291721,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,540,930,6.888170414306085,0.861073602339324,2.6659399950290945,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,540,930,6.888170414306085,0.861073602339324,0.929181927107034,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,570,1620,9.823684730661691,0.5359298491823555,3.220302101653991,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,570,1620,9.823684730661691,0.5359298491823555,1.0734511026055076,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,690,1590,7.172999051284401,0.8327375862554397,2.869505553639614,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,690,1590,7.172999051284401,0.8327375862554397,1.5767981500633574,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,720,1080,6.012981084035614,0.9943284013710274,1.591164569551355,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,720,1080,6.012981084035614,0.9943284013710274,0.9224237661736195,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,900,1740,7.360842981705364,0.725203414724055,2.9163525561668386,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,900,1740,7.360842981705364,0.725203414724055,1.0400917883587544,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1080,1410,9.2610104260212,0.9145882814566009,1.392616476742527,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1080,1410,9.2610104260212,0.9145882814566009,1.085442950667093,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,1080,1560,9.951868883995171,0.9469711405729537,2.0747012887037317,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,1080,1560,9.951868883995171,0.9469711405729537,1.5981440497499857,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,2220,2820,3.053975155902359,0.9405885319286033,1.1845191110155573,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,2220,2820,3.053975155902359,0.9405885319286033,0.41014114024289516,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,2220,2970,5.737309735848355,0.6799591837312156,1.0903813195124903,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,2220,2970,5.737309735848355,0.6799591837312156,1.2691482520486699,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,2820,3390,6.426850273132588,0.43065139032225136,1.6435099658391479,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,2820,3390,6.426850273132588,0.43065139032225136,1.7151968071611037,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,4680,4980,9.57315665204449,0.8740396693801137,0.7138464147271784,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,4680,4980,9.57315665204449,0.8740396693801137,1.1570369221190067,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,5670,6000,6.221204486811479,0.6503167891970851,0.9152896360675331,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,5670,6000,6.221204486811479,0.6503167891970851,0.47289180019288374,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,hip_knee,6000,6330,4.703995038371058,0.8160616826294153,0.5659714213503669,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,primary,spine,6000,6330,4.703995038371058,0.8160616826294153,0.6935517706650791,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,120,6720,9.916798011041006,1.0143615179976928,9.64386368097945,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,120,6720,9.916798011041006,1.0143615179976928,2.850369305174885,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,150,5070,18.82835495512136,1.4950085049567083,12.506020226934002,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,150,5070,18.82835495512136,1.4950085049567083,3.054294352168529,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,210,1170,16.11003761824946,1.6081793205759927,11.958070070740318,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,210,1170,16.11003761824946,1.6081793205759927,2.3193929684121692,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,210,3510,16.040317142794905,1.8341819001433113,9.266866225459744,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,210,3510,16.040317142794905,1.8341819001433113,2.6539984505206555,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,240,600,11.682731176582763,1.6996949190331296,12.572425180738392,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,240,600,11.682731176582763,1.6996949190331296,2.3448362355984256,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,240,630,13.213611984230658,1.6723147943486993,12.799518042865346,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,240,630,13.213611984230658,1.6723147943486993,1.7855759558511701,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,240,810,11.692754049927732,1.3186442994152638,12.631483372298819,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,240,810,11.692754049927732,1.3186442994152638,2.095730474267206,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,240,840,11.813700035798476,1.5281827186348735,12.704278402536524,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,240,840,11.813700035798476,1.5281827186348735,1.934904954922329,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,240,990,12.768876396293077,1.7384087174360838,11.945478041902346,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,240,990,12.768876396293077,1.7384087174360838,1.8213838646081573,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,240,3510,10.413700382318604,1.8719417384425459,9.069424802347084,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,240,3510,10.413700382318604,1.8719417384425459,2.094064800172592,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,300,1710,14.52168819904858,1.6372232914802602,9.636954906661808,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,300,1710,14.52168819904858,1.6372232914802602,1.9633698057709017,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,330,1410,11.908711011690686,0.91760373650383,9.708072416541999,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,330,1410,11.908711011690686,0.91760373650383,2.4515635835628644,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,390,1140,10.314509241867778,1.3731310631330038,8.49825343858981,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,390,1140,10.314509241867778,1.3731310631330038,2.055071019515429,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,420,810,7.363037632495359,0.7827645134626039,7.838467725385801,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,spine,420,810,7.363037632495359,0.7827645134626039,2.045279195908843,False
/home/duanyuhan/dyh/motion/MotionRe/base_mobileposer/data/raw/DIP_IMU/s_07/01.pkl,s_07,sensitivity_looser,hip_knee,420,840,11.044631418965729,1.289723180803954,7.91035718763251,False
